RepWeekDate,date,TestType,RSVtest,RSVpos,RSV_percent_positive,flutest,flupos_national,fluApos_national,fluBpos_national,flu_percent_positive,HHS_REGION
1/1/11,2011,1,13658,3314,0.242641675,NA,NA,NA,NA,NA,National
1/10/15,2015.024658,1,7520,1516,0.201595745,38508,9242,8874,372,0.240002077,National
1/11/14,2014.027397,1,7425,1490,0.200673401,17779,5184,5099,88,0.291579954,National
1/12/13,2013.030137,1,16642,3682,0.221247446,19673,6940,5798,1146,0.352767753,National
1/12/19,2019.030137,1,4382,874,0.199452305,2901,1680,1649,31,0.579110651,National
1/13/18,2018.032877,1,5172,1045,0.202049497,6410,4327,3654,673,0.675039002,National
1/14/12,2012.035519,1,10362,2525,0.243678826,5341,231,220,15,0.043250328,National
1/14/17,2017.035616,1,5587,1141,0.204224092,4348,2439,2289,150,0.560947562,National
1/15/11,2011.038356,1,13293,3187,0.239750244,10190,2977,2399,585,0.292149166,National
1/16/16,2016.040984,1,4983,1107,0.222155328,1748,480,350,130,0.274599542,National
1/17/15,2015.043836,1,7034,1561,0.221922093,35598,8643,8175,473,0.242794539,National
1/18/14,2014.046575,1,6796,1314,0.193349029,18253,5052,4966,91,0.27677642,National
1/19/13,2013.049315,1,15351,3685,0.240049508,22224,7598,6365,1237,0.341882649,National
1/19/19,2019.049315,1,4490,896,0.199554566,3287,1799,1763,36,0.547307575,National
1/2/16,2016.002732,1,5471,1443,0.263754341,NA,NA,NA,NA,NA,National
1/20/18,2018.052055,1,5383,1034,0.192086197,6919,4538,3799,739,0.655875126,National
1/21/12,2012.054645,1,10886,2689,0.247014514,5364,317,302,18,0.059097688,National
1/21/17,2017.054795,1,5676,1234,0.217406624,4278,2533,2334,199,0.592099112,National
1/22/11,2011.057534,1,14833,3853,0.259758646,11067,3702,2969,741,0.334507997,National
1/23/16,2016.060109,1,5266,1269,0.240979871,1946,627,474,153,0.322199383,National
1/24/15,2015.063014,1,7639,1648,0.215735044,34194,7976,7435,548,0.233257297,National
1/25/14,2014.065753,1,6706,1302,0.194154489,17480,4676,4549,131,0.267505721,National
1/26/13,2013.068493,1,14629,3527,0.241096452,20931,6387,5251,1142,0.305145478,National
1/26/19,2019.068493,1,4524,811,0.179266136,3330,2004,1962,42,0.601801802,National
1/27/18,2018.071233,1,5866,950,0.161950222,6293,3955,3183,772,0.628476085,National
1/28/12,2012.07377,1,11469,3072,0.267852472,5840,468,441,32,0.080136986,National
1/28/17,2017.073973,1,6003,1204,0.200566383,4568,2731,2507,224,0.597854641,National
1/29/11,2011.076712,1,16541,4475,0.270539871,12950,4442,3475,972,0.343011583,National
1/3/15,2015.005479,1,8216,1865,0.226996105,NA,NA,NA,NA,NA,National
1/30/16,2016.079235,1,5606,1260,0.224759187,2568,930,701,229,0.362149533,National
1/31/15,2015.082192,1,7646,1870,0.244572325,32003,6877,6275,606,0.214886104,National
1/4/14,2014.008219,1,7850,1838,0.234140127,NA,NA,NA,NA,NA,National
1/5/13,2013.010959,1,17971,4637,0.258026821,NA,NA,NA,NA,NA,National
1/5/19,2019.010959,1,5365,1327,0.247343896,NA,NA,NA,NA,NA,National
1/6/18,2018.013699,1,5663,1261,0.222673495,NA,NA,NA,NA,NA,National
1/7/12,2012.016393,1,11223,2929,0.260981912,5690,176,161,22,0.030931459,National
1/7/17,2017.016438,1,5853,1417,0.242098069,3932,2259,2133,126,0.574516785,National
1/8/11,2011.019178,1,13461,3310,0.24589555,10441,2624,2056,572,0.251316924,National
1/9/16,2016.021858,1,5115,1213,0.23714565,1841,380,302,78,0.20640956,National
10/1/11,2011.747945,1,4324,223,0.051572618,2920,33,29,6,0.01130137,National
10/1/16,2016.748634,1,1916,194,0.10125261,696,95,79,16,0.136494253,National
10/10/15,2015.772603,1,2407,277,0.115081014,1139,82,71,11,0.071992976,National
10/11/14,2014.775342,1,2499,181,0.072428972,9567,304,199,110,0.031775896,National
10/12/13,2013.778082,1,2349,209,0.088974032,4911,188,166,28,0.038281409,National
10/13/12,2012.781421,1,4879,361,0.073990572,4914,186,98,95,0.037851038,National
10/13/18,2018.780822,1,2254,314,0.139307897,801,66,48,18,0.082397004,National
10/14/17,2017.783562,1,2027,255,0.125801677,1079,188,165,23,0.174235403,National
10/15/11,2011.786301,1,4723,252,0.053355918,3316,17,11,8,0.005126659,National
10/15/16,2016.786885,1,2298,224,0.097476066,970,108,92,16,0.111340206,National
10/16/10,2010.789041,1,5136,303,0.058995327,4006,123,92,36,0.030703944,National
10/17/15,2015.791781,1,2526,268,0.106096595,1152,58,48,10,0.050347222,National
10/18/14,2014.794521,1,2782,211,0.075844716,11036,432,279,160,0.039144618,National
10/19/13,2013.79726,1,2691,221,0.082125604,5808,221,197,32,0.038050964,National
10/2/10,2010.750685,1,4238,166,0.03916942,NA,NA,NA,NA,NA,National
10/20/12,2012.800546,1,5591,499,0.089250581,5249,300,183,122,0.057153744,National
10/20/18,2018.8,1,2558,364,0.142298671,918,84,71,13,0.091503268,National
10/21/17,2017.80274,1,2436,323,0.132594417,1234,201,187,14,0.162884927,National
10/22/11,2011.805479,1,5126,344,0.067108857,3425,23,20,8,0.006715328,National
10/22/16,2016.806011,1,2394,304,0.126984127,1140,167,148,19,0.146491228,National
10/23/10,2010.808219,1,5400,385,0.071296296,4112,134,94,45,0.032587549,National
10/24/15,2015.810959,1,2667,279,0.104611924,1198,74,61,13,0.061769616,National
10/25/14,2014.813699,1,2633,210,0.079756931,11729,581,420,164,0.04953534,National
10/26/13,2013.816438,1,2816,282,0.100142045,5801,182,159,26,0.031373901,National
10/27/12,2012.819672,1,5920,628,0.106081081,5306,341,207,141,0.064266868,National
10/27/18,2018.819178,1,2555,365,0.142857143,1110,104,87,17,0.093693694,National
10/28/17,2017.821918,1,2534,354,0.139700079,1473,265,230,35,0.179904956,National
10/29/11,2011.824658,1,5410,355,0.065619224,3749,42,32,12,0.011202987,National
10/29/16,2016.825137,1,2524,290,0.114896989,1168,156,144,12,0.133561644,National
10/3/15,2015.753425,1,2184,173,0.079212454,9876,198,143,59,0.020048603,National
10/30/10,2010.827397,1,5603,402,0.071747278,4240,161,114,52,0.037971698,National
10/31/15,2015.830137,1,2738,305,0.111395179,1244,58,44,14,0.046623794,National
10/4/14,2014.756164,1,2158,107,0.049582947,5905,197,139,65,0.033361558,National
10/5/13,2013.758904,1,2136,159,0.074438202,4596,185,168,20,0.040252393,National
10/6/12,2012.762295,1,4774,345,0.072266443,4513,165,93,78,0.036561046,National
10/6/18,2018.761644,1,2188,277,0.126599634,561,36,33,3,0.064171123,National
10/7/17,2017.764384,1,1987,255,0.128334172,1041,161,140,21,0.154658982,National
10/8/11,2011.767123,1,4550,203,0.044615385,3192,28,24,9,0.00877193,National
10/8/16,2016.76776,1,2194,287,0.130811304,898,106,96,10,0.118040089,National
10/9/10,2010.769863,1,4680,273,0.058333333,3600,69,54,23,0.019166667,National
11/1/14,2014.832877,1,2665,272,0.10206379,11385,538,417,127,0.04725516,National
11/10/12,2012.857923,1,6789,1011,0.148917366,6446,626,398,231,0.09711449,National
11/10/18,2018.857534,1,2974,504,0.169468729,1247,120,110,10,0.096230954,National
11/11/17,2017.860274,1,3025,551,0.18214876,1554,394,345,49,0.253539254,National
11/12/11,2011.863014,1,6701,589,0.087897329,4326,46,34,15,0.01063338,National
11/12/16,2016.863388,1,3295,458,0.138998483,1275,173,161,12,0.135686275,National
11/13/10,2010.865753,1,6589,634,0.096220974,5377,348,187,163,0.064720104,National
11/14/15,2015.868493,1,3308,384,0.116082225,1393,62,46,16,0.044508256,National
11/15/14,2014.871233,1,3474,420,0.1208981,12918,1149,1001,155,0.088945657,National
11/16/13,2013.873973,1,3682,495,0.134437806,6945,395,357,43,0.05687545,National
11/17/12,2012.877049,1,7532,1132,0.150292087,6721,895,631,267,0.133164708,National
11/17/18,2018.876712,1,3403,576,0.169262416,1339,175,159,16,0.130694548,National
11/18/17,2017.879452,1,3559,687,0.19303175,1876,558,463,95,0.297441365,National
11/19/11,2011.882192,1,7052,745,0.105643789,4580,39,32,12,0.008515284,National
11/19/16,2016.882514,1,3519,537,0.152600171,1351,221,200,21,0.163582531,National
11/2/13,2013.835616,1,3176,281,0.088476071,5886,203,194,14,0.034488617,National
11/20/10,2010.884932,1,7132,735,0.103056646,5578,484,250,237,0.086769451,National
11/21/15,2015.887671,1,3321,407,0.122553448,1458,68,60,8,0.046639232,National
11/22/14,2014.890411,1,3984,497,0.124748996,13777,1411,1270,147,0.102417072,National
11/23/13,2013.893151,1,3697,523,0.141466054,7203,512,481,37,0.071081494,National
11/24/12,2012.896175,1,8103,1540,0.190053067,7433,1362,1005,364,0.183236916,National
11/24/18,2018.89589,1,3665,739,0.201637108,1426,206,201,5,0.144460028,National
11/25/17,2017.89863,1,3853,826,0.214378406,1611,608,533,75,0.377405338,National
11/26/11,2011.90137,1,6844,935,0.136616014,4108,72,56,19,0.017526777,National
11/26/16,2016.901639,1,3616,583,0.161227876,1098,200,183,17,0.182149362,National
11/27/10,2010.90411,1,7131,1003,0.140653485,5533,584,322,265,0.105548527,National
11/28/15,2015.906849,1,3558,541,0.152051714,1157,57,41,16,0.049265341,National
11/29/14,2014.909589,1,4625,636,0.137513514,16166,2397,2240,163,0.148274156,National
11/3/12,2012.838798,1,6208,753,0.121295103,5406,419,271,154,0.077506474,National
11/3/18,2018.838356,1,3347,449,0.134149985,1113,130,114,16,0.116801438,National
11/30/13,2013.912329,1,4109,673,0.163786809,7839,713,660,57,0.090955479,National
11/4/17,2017.841096,1,2812,449,0.159672831,1591,344,288,56,0.216216216,National
11/5/11,2011.843836,1,6037,446,0.073877754,4075,33,30,9,0.00809816,National
11/5/16,2016.844262,1,2793,382,0.136770498,1296,157,137,20,0.121141975,National
11/6/10,2010.846575,1,5933,549,0.092533288,4608,240,141,106,0.052083333,National
11/7/15,2015.849315,1,3034,325,0.107119314,1465,45,31,14,0.030716724,National
11/8/14,2014.852055,1,3103,354,0.114083145,11531,721,591,136,0.062527101,National
11/9/13,2013.854795,1,3578,381,0.106484069,6316,288,250,43,0.04559848,National
12/1/12,2012.915301,1,9527,1806,0.189566495,9333,2087,1586,503,0.223615129,National
12/1/18,2018.915068,1,3702,779,0.210426796,1129,287,279,8,0.254207263,National
12/10/11,2011.939726,1,7924,1355,0.170999495,4710,103,88,20,0.021868365,National
12/10/16,2016.939891,1,3898,732,0.18778861,1880,526,496,30,0.279787234,National
12/11/10,2010.942466,1,8400,1340,0.15952381,6361,836,533,310,0.131425876,National
12/12/15,2015.945205,1,4102,721,0.175767918,1518,102,78,24,0.067193676,National
12/13/14,2014.947945,1,5743,916,0.15949852,23068,5326,5081,249,0.230882608,National
12/14/13,2013.950685,1,5202,968,0.186082276,10169,1714,1650,69,0.16855148,National
12/15/12,2012.953552,1,12867,2981,0.231677936,14711,4791,3941,856,0.325674665,National
12/15/18,2018.953425,1,4265,1049,0.245955451,1728,482,465,17,0.278935185,National
12/16/17,2017.956164,1,4264,991,0.232410882,3558,1912,1663,249,0.537380551,National
12/17/11,2011.958904,1,8986,1833,0.203983975,4906,129,113,20,0.026294333,National
12/17/16,2016.959016,1,4341,993,0.228749136,2244,838,777,61,0.373440285,National
12/18/10,2010.961644,1,9960,1824,0.18313253,7692,1446,908,542,0.18798752,National
12/19/15,2015.964384,1,4372,914,0.20905764,1475,141,108,33,0.09559322,National
12/2/17,2017.917808,1,3899,830,0.212875096,2369,996,860,136,0.420430561,National
12/20/14,2014.967123,1,6497,1143,0.175927351,29223,8187,7876,315,0.280156041,National
12/21/13,2013.969863,1,6156,1321,0.214587394,10837,2248,2201,52,0.207437483,National
12/22/12,2012.972678,1,15386,3798,0.246847784,16904,6327,5177,1154,0.374290109,National
12/22/18,2018.972603,1,4730,1138,0.240591966,2200,877,861,16,0.398636364,National
12/23/17,2017.975342,1,5250,1146,0.218285714,4815,3125,2750,375,0.649013499,National
12/24/11,2011.978082,1,9833,2262,0.230041696,5151,194,173,24,0.03766259,National
12/24/16,2016.978142,1,4900,1093,0.223061224,2505,1138,1056,82,0.454291417,National
12/25/10,2010.980822,1,10613,2199,0.207198719,8172,2041,1357,689,0.249755262,National
12/26/15,2015.983562,1,4863,1144,0.235245733,1245,166,123,43,0.133333333,National
12/27/14,2014.986301,1,7596,1565,0.206029489,37114,11463,11145,325,0.308859191,National
12/28/13,2013.989041,1,6997,1693,0.24196084,14015,3949,3888,67,0.281769533,National
12/29/12,2012.991803,1,16376,4169,0.254579873,18139,6864,5671,1199,0.378411158,National
12/29/18,2018.991781,1,5552,1345,0.242255043,2674,1479,1442,37,0.553103964,National
12/3/11,2011.920548,1,7916,1236,0.156139464,4669,69,55,17,0.014778325,National
12/3/16,2016.920765,1,3974,714,0.179667841,1713,382,342,40,0.223000584,National
12/30/17,2017.994521,1,6049,1368,0.226153083,5424,3799,3292,507,0.700405605,National
12/31/11,2011.99726,1,11344,2883,0.254143159,5470,178,164,18,0.032541133,National
12/31/16,2016.997268,1,5806,1479,0.25473648,3287,1848,1739,109,0.562214786,National
12/4/10,2010.923288,1,7724,1099,0.142283791,5975,592,337,260,0.099079498,National
12/5/15,2015.926027,1,3709,566,0.152601779,1550,90,66,24,0.058064516,National
12/6/14,2014.928767,1,5247,757,0.144272918,18504,3618,3424,200,0.195525292,National
12/7/13,2013.931507,1,4872,923,0.189449918,7433,893,856,42,0.120139917,National
12/8/12,2012.934426,1,10687,2269,0.212314026,12060,3515,2829,693,0.29145937,National
12/8/18,2018.934247,1,3864,796,0.206004141,1704,415,402,13,0.243544601,National
12/9/17,2017.936986,1,4126,939,0.227581192,2785,1281,1131,150,0.459964093,National
2/1/14,2014.084932,1,6402,1253,0.195720087,16468,3998,3817,185,0.242773864,National
2/10/18,2018.109589,1,5691,929,0.163240204,7056,4278,3077,1201,0.606292517,National
2/11/12,2012.112022,1,12416,3229,0.260067655,6413,805,753,56,0.125526275,National
2/11/17,2017.112329,1,6566,1097,0.167072799,5521,3482,3069,413,0.630682847,National
2/12/11,2011.115068,1,17608,4811,0.273228078,14647,5074,3900,1177,0.346419062,National
2/13/16,2016.117486,1,5766,1182,0.204994797,3202,1582,1144,438,0.494066209,National
2/14/15,2015.120548,1,6908,1629,0.23581355,26994,4192,3328,869,0.155293769,National
2/15/14,2014.123288,1,5772,1122,0.194386694,12995,2473,2258,219,0.190303963,National
2/16/13,2013.126027,1,12145,2936,0.241745574,14491,3289,2106,1188,0.226968463,National
2/16/19,2019.126027,1,4804,607,0.126353039,4895,3203,3156,47,0.654341164,National
2/17/18,2018.128767,1,5412,825,0.152439024,6492,3989,2616,1373,0.614448552,National
2/18/12,2012.131148,1,12869,3250,0.252544875,7298,1079,1012,71,0.147848726,National
2/18/17,2017.131507,1,6127,930,0.151787172,5335,3258,2702,556,0.610684161,National
2/19/11,2011.134247,1,17975,4782,0.266036161,16401,5711,4362,1354,0.348210475,National
2/2/13,2013.087671,1,13554,3402,0.250996016,18668,5517,4332,1189,0.295532462,National
2/2/19,2019.087671,1,4693,706,0.150436821,3553,2226,2179,47,0.626512806,National
2/20/16,2016.136612,1,5793,1216,0.20990851,3898,2206,1615,591,0.565931247,National
2/21/15,2015.139726,1,6719,1544,0.229796101,24293,3368,2360,1010,0.138640761,National
2/22/14,2014.142466,1,5770,1141,0.197746967,11892,1949,1724,227,0.163891692,National
2/23/13,2013.145205,1,11582,2549,0.220082887,12691,2646,1456,1194,0.208494208,National
2/23/19,2019.145205,1,4665,544,0.116613076,4753,3141,3071,70,0.660845782,National
2/24/18,2018.147945,1,4753,719,0.15127288,5508,3327,2030,1297,0.604030501,National
2/25/12,2012.150273,1,12995,3037,0.233705271,7596,1436,1365,78,0.189046867,National
2/25/17,2017.150685,1,5436,799,0.146983076,5065,3068,2463,605,0.605725568,National
2/26/11,2011.153425,1,17905,4654,0.259927395,15033,4651,3453,1204,0.309386017,National
2/27/16,2016.155738,1,6345,1110,0.174940898,4551,2686,1932,754,0.590199956,National
2/28/15,2015.158904,1,6054,1315,0.217211761,22294,2833,1712,1127,0.127074549,National
2/3/18,2018.090411,1,6117,1034,0.16903711,6923,4334,3327,1007,0.626029178,National
2/4/12,2012.092896,1,12085,3136,0.259495242,6251,674,637,43,0.107822748,National
2/4/17,2017.093151,1,6396,1082,0.16916823,5086,3005,2677,328,0.590837593,National
2/5/11,2011.09589,1,15790,4354,0.275744142,13875,4909,3785,1127,0.353801802,National
2/6/16,2016.098361,1,5510,1279,0.232123412,2727,1159,856,303,0.425009168,National
2/7/15,2015.10137,1,7513,1883,0.250632237,29581,5617,4899,723,0.189885399,National
2/8/14,2014.10411,1,5943,1158,0.194851085,14618,2987,2815,175,0.204337119,National
2/9/13,2013.106849,1,12812,3246,0.253356229,16228,4300,3146,1158,0.264974119,National
2/9/19,2019.106849,1,4722,611,0.129394324,4166,2613,2559,54,0.627220355,National
3/1/14,2014.161644,1,5527,1071,0.193776009,11127,1514,1270,248,0.136065426,National
3/10/12,2012.188525,1,11648,2440,0.209478022,8459,2379,2261,123,0.281238917,National
3/10/18,2018.186301,1,3718,530,0.142549758,3580,1837,846,991,0.513128492,National
3/11/17,2017.189041,1,4442,467,0.105132823,3625,1955,1321,634,0.539310345,National
3/12/11,2011.191781,1,15674,3299,0.210475947,11625,2761,2075,691,0.237505376,National
3/12/16,2016.193989,1,6212,765,0.123148744,5095,3274,2533,741,0.642590775,National
3/14/15,2015.19726,1,5435,945,0.173873045,19845,2520,871,1656,0.126984127,National
3/15/14,2014.2,1,5172,743,0.143658159,9441,1017,722,301,0.10772164,National
3/16/13,2013.20274,1,8743,1369,0.156582409,10165,1816,617,1204,0.178652238,National
3/16/19,2019.20274,1,4516,367,0.081266608,4834,3317,3191,126,0.686181216,National
3/17/12,2012.20765,1,11221,2237,0.199358346,8822,2708,2511,199,0.306959873,National
3/17/18,2018.205479,1,3370,413,0.122551929,3057,1486,580,906,0.486097481,National
3/18/17,2017.208219,1,4172,393,0.094199425,3238,1653,948,705,0.510500309,National
3/19/11,2011.210959,1,14398,2808,0.195027087,9860,1995,1437,563,0.202332657,National
3/19/16,2016.213115,1,5692,631,0.110857344,4111,2368,1751,617,0.576015568,National
3/2/13,2013.164384,1,10391,2091,0.201231835,11354,2271,1050,1225,0.200017615,National
3/2/19,2019.164384,1,4450,451,0.101348315,4787,3158,3061,97,0.659703363,National
3/21/15,2015.216438,1,4816,740,0.153654485,18419,2203,644,1565,0.119604756,National
3/22/14,2014.219178,1,4704,627,0.133290816,8922,981,652,334,0.109952925,National
3/23/13,2013.221918,1,7896,975,0.123480243,9559,1610,462,1155,0.16842766,National
3/23/19,2019.221918,1,4253,359,0.084411004,4521,3063,2925,138,0.677504977,National
3/24/12,2012.226776,1,9856,1756,0.178165584,7974,2190,1958,237,0.274642588,National
3/24/18,2018.224658,1,3243,399,0.123034228,2529,1276,490,786,0.504547252,National
3/25/17,2017.227397,1,3793,301,0.07935671,3212,1718,878,840,0.53486924,National
3/26/11,2011.230137,1,12905,2137,0.165594731,8443,1356,955,406,0.16060642,National
3/26/16,2016.23224,1,4974,484,0.097305991,3357,1784,1275,509,0.531426869,National
3/28/15,2015.235616,1,4486,551,0.122826572,16980,1904,431,1479,0.11213192,National
3/29/14,2014.238356,1,4538,507,0.111723226,8216,1023,566,464,0.124513145,National
3/3/12,2012.169399,1,12232,2831,0.231442119,8485,2015,1909,112,0.237477902,National
3/3/18,2018.167123,1,4037,643,0.159276691,4546,2650,1398,1252,0.582930048,National
3/30/13,2013.241096,1,6861,789,0.114997814,8647,1370,359,1017,0.158436452,National
3/30/19,2019.241096,1,3662,281,0.076734025,3838,2318,2174,144,0.603960396,National
3/31/12,2012.245902,1,8939,1363,0.152477906,7450,1601,1362,244,0.214899329,National
3/31/18,2018.243836,1,3065,325,0.106035889,2248,1012,364,648,0.450177936,National
3/4/17,2017.169863,1,4945,621,0.125581395,3995,2168,1559,609,0.542678348,National
