State_name,state,HHS_region
Alabama,AL,4
Alaska,AK,10
American Samoa,AS,9
Arizona,AZ,9
Arkansas,AR,6
California,CA,9
Colorado,CO,8
Connecticut,CT,1
Delaware,DE,3
District of Columbia,DC,3
Florida,FL,4
Georgia,GA,4
Guam,GU,9
Hawaii,HI,9
Idaho,ID,10
Illinois,IL,5
Indiana,IN,5
Iowa,IA,7
Kansas,KS,7
Kentucky,KY,4
Louisiana,LA,6
Maine,ME,1
Maryland,MD,3
Massachusetts,MA,1
Michigan,MI,5
Minnesota,MN,5
Mississippi,MS,4
Missouri,MO,7
Montana,MT,8
Nebraska,NE,7
Nevada,NV,9
New Hampshire,NH,1
New Jersey,NJ,2
New Mexico,NM,6
New York,NY,2
North Carolina,NC,4
North Dakota,ND,8
Northern Mariana Islands,CM,9
Ohio,OH,5
Oklahoma,OK,6
Oregon,OR,10
Pennsylvania,PA,3
Puerto Rico,PR,2
Rhode Island,RI,1
South Carolina,SC,4
South Dakota,SD,8
Tennessee,TN,4
Texas,TX,6
Trust erritories,TT,
Utah,UT,8
Vermont,VT,1
Virgin Islands,VI,2
Virginia,VA,3
Washington,WA,10
West Virginia,WV,3
Wisconsin,WI,5
Wyoming,WY,8
United States,US,0