State,US_Census_Division
New_York,Middle_Atlantic
Tennessee,East_South_Central
Texas,West_South_Central
West_Virginia,South_Atlantic
Colorado,Mountain
Oklahoma,West_South_Central
California,Pacific
Wyoming,Mountain
Wisconsin,East_North_Central
Washington,Pacific
Ohio,East_North_Central
Pennsylvania,Middle_Atlantic
Maryland,South_Atlantic
Hawaii,Pacific
Florida,South_Atlantic
New_Mexico,Mountain
New_Jersey,Middle_Atlantic
Illinois,East_North_Central
Kentucky,East_South_Central
North_Carolina,South_Atlantic
South_Dakota,West_North_Central
Idaho,Mountain
Indiana,East_North_Central
Vermont,New_England
Missouri,West_North_Central
Minnesota,West_North_Central
Mississippi,East_South_Central
South_Carolina,South_Atlantic
Alabama,East_South_Central
Virginia,South_Atlantic
Massachusetts,New_England
Alaska,Pacific
Delaware,South_Atlantic
Michigan,East_North_Central
Rhode_Island,New_England
Arkansas,West_South_Central
Georgia,South_Atlantic
Montana,Mountain
Nevada,Mountain
Arizona,Mountain
Louisiana,West_South_Central
Nebraska,West_North_Central
Oregon,Pacific
Iowa,West_North_Central
North_Dakota,West_North_Central
New_Hampshire,New_England
Kansas,West_North_Central
Utah,Mountain
Connecticut,New_England
Maine,New_England
District_of_Columbia,South_Atlantic
Palau,Pacific
American_Samoa,Pacific